log_loss.01,log_loss.02,log_loss.03,log_loss.04,log_loss.05,log_loss.06,log_loss.07,log_loss.08,log_loss.09,log_loss.10,log_loss.11,log_loss.12,log_loss.13,log_loss.14,log_loss.15,log_loss.16,log_loss.17,log_loss.18,log_loss.19
0.003683702,0.003551327,0.002433988,0.004137254,0.006379143,0.002282262,0.006397934,0.003986123,0.00326753,0.001769798,0.001028503,0.004439359,0.013313686,0.014919622,0.028308708,0.031973512,0.026195436,0.009916174,0.008385126
0.001287435,0.000697835,0.000214838,0.001448097,0.001073128,0.001180295,0.002410819,0.004967693,0.000590548,0.000536895,5.37193E-05,0.003318101,0.010718624,0.014735792,0.017169691,0.015565886,0.023678977,0.005604566,0.006240507
0.004277917,0.002732595,0.000673545,0.000628675,0.002062238,0.004159241,0.011412731,0.009716894,0.003045074,0.004322412,0.002866542,0.003981166,0.016605066,0.016446446,0.011500267,0.014495012,0.030117982,0.007131188,0.012185355
0.000886837,0.002628357,0.000537693,0.000940526,0.000403332,0.001396619,0.003563215,0.004389554,0.001101555,0.002922386,0.001664686,0.001423433,0.021619506,0.01413282,0.006514806,0.012854984,0.028526113,0.01532901,0.012306187
0.002346126,0.002648818,0.001160846,0.002125854,0.001684973,0.003363435,0.006673768,0.002428699,0.000857115,0.001547106,0.001326429,0.002208469,0.016029451,0.016136131,0.01020243,0.022620827,0.023591786,0.010931724,0.010175396
0.000953097,0.003326729,0.000317931,0.002339292,0.000595931,0.001943688,0.00336618,0.002695028,0.001072087,0.002576482,0.001547723,0.001032428,0.006314826,0.009282503,0.005451963,0.01110768,0.027944234,0.010176633,0.009010011
0.005685817,0.002373253,0.002959663,0.002314569,0.003915765,0.004013207,0.006209613,0.004966995,0.001903555,0.005627579,0.003935255,0.006306543,0.016876729,0.021449579,0.023168376,0.021973412,0.011125661,0.008394966,0.004714153
0.000344086,0.001203112,5.73665E-05,0.001546247,0.000630617,0.000916959,0.003314805,0.001889111,0.000344086,0.000974205,0.001374714,0.000859706,0.006999853,0.008127452,0.007902166,0.005812714,0.019409906,0.007507635,0.01221852
0.004241164,0.00376745,0.000777926,0.002397542,0.002234493,0.005605279,0.007448791,0.007207023,0.001962608,0.003103381,0.002424711,0.002248083,0.007327924,0.00498453,0.005915321,0.010539582,0.027637528,0.012216242,0.00907052
0.00089345,0.001513899,0.000408108,0.00135887,0.0007382,0.001901229,0.003813446,0.005314133,0.001048646,0.002423579,0.000951655,0.002848732,0.009785328,0.01124661,0.005429355,0.01022233,0.014662332,0.00950009,0.005774841
0.008837449,0.002679509,0.001838088,0.00193166,0.004524916,0.007232195,0.011554667,0.009426398,0.001407398,0.003742973,0.000920016,0.001912947,0.009113618,0.008782195,0.006269892,0.009389612,0.019426085,0.010546874,0.016793989
0.003859498,0.003031646,0.000920391,0.001197863,0.001249869,0.00540748,0.006556294,0.006984179,0.001544453,0.00140585,0.001197863,0.002496151,0.011273878,0.008282366,0.007804538,0.010052567,0.014799741,0.005905101,0.01003558
0.001953305,0.001150992,0.000362971,0.000678351,0.000662588,0.000946245,0.004460785,0.005864907,0.000772921,0.00272276,0.001575931,0.003067786,0.008535777,0.009061801,0.008009115,0.008628651,0.017195439,0.00574028,0.007869598
0.002139865,0.001743489,0.001038827,0.001249536,0.002301547,0.002107521,0.004655278,0.003488068,0.001395351,0.001557311,0.003084853,0.002083262,0.00868811,0.007651474,0.006364201,0.00820997,0.012336465,0.003866749,0.006852374
0.004903369,0.003675208,0.001871615,0.002553853,0.002373365,0.00384516,0.010156076,0.006287123,0.001107843,0.003525194,0.002092456,0.003365122,0.011307125,0.010018139,0.014117785,0.012964384,0.015307073,0.010205329,0.013736915
0.005511067,0.003949639,0.001391424,0.001207104,0.001533157,0.001207104,0.004006004,0.004709954,0.001504814,0.003244455,0.002976184,0.003865077,0.009104862,0.010745023,0.012738219,0.012710598,0.015285569,0.007961431,0.007807815
0.003071442,0.002561042,0.000997756,0.001623746,0.003751046,0.002163648,0.007217416,0.005896132,0.001595311,0.005389042,0.003835921,0.003468007,0.010962562,0.015475113,0.013874788,0.013432279,0.019995772,0.007020884,0.011546572
0.009781517,0.006207735,0.004383793,0.005866329,0.005949119,0.001737934,0.005711055,0.00512051,0.0020826,0.004020162,0.005907726,0.008775183,0.014565522,0.019698597,0.021159825,0.02891361,0.014565522,0.007292245,0.007663454
0.001815538,0.004146166,0.001027106,0.001946804,0.002759771,0.003361958,0.006801932,0.0069317,0.0019993,0.005241684,0.002969322,0.006386414,0.010626746,0.018075621,0.010961105,0.014188552,0.018202064,0.011089637,0.011038229
