OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,tmx_2014_0,tmx_2014_1,tmx_2014_2,tmx_2014_3,tmx_2014_4,tmx_2014_5,tmx_2014_6,tmx_2014_7,tmx_2014_8,tmx_2014_9,tmx_201410,tmx_201411,tmx_2015_0,tmx_2015_1,tmx_2015_2,tmx_2015_3,tmx_2015_4,tmx_2015_5,tmx_2015_6,tmx_2015_7,tmx_2015_8,tmx_2015_9,tmx_201510,tmx_201511,tmx_2016_0,tmx_2016_1,tmx_2016_2,tmx_2016_3,tmx_2016_4,tmx_2016_5,tmx_2016_6,tmx_2016_7,tmx_2016_8,tmx_2016_9,tmx_201610,tmx_201611,tmx_2017_0,tmx_2017_1,tmx_2017_2,tmx_2017_3,tmx_2017_4,tmx_2017_5,tmx_2017_6,tmx_2017_7,tmx_2017_8,tmx_2017_9,tmx_201710,tmx_201711
21,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIMANGA OUEST,28.40293146,28.41401102,27.94415475,27.09584225,25.2510826,24.00228842,23.06603148,23.42074302,24.72801773,26.60422143,28.13939149,28.726341,28.2029307,28.04229405,27.79348336,27.39584149,25.93614197,24.08145484,23.08097287,23.12074358,24.52801697,27.22661188,28.03939111,29.32634118,28.71787209,28.87078889,28.5934826,27.49584187,24.53614044,22.90228804,22.28097364,23.22074396,24.62801735,26.92661244,26.25433326,28.92634156,28.81787247,28.41401102,28.19348298,27.29584111,25.93614197,24.40228804,23.18097155,23.42074302,25.02801697,27.1266115,27.71110923,28.42044899
22,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT VOHITRARIVO,28.64770304,28.64057297,28.19303553,27.3420728,25.49328687,24.26345842,23.34522444,23.71029353,25.01590272,26.84424464,28.34563772,28.94768838,28.44770228,28.26951827,28.04000804,27.64207293,26.1813701,24.34668125,23.35714109,23.41029428,24.81590289,27.46832818,28.24563733,29.54768782,28.95961896,29.09971235,28.84000727,27.74207331,24.78136946,23.16345804,22.55714185,23.51029466,24.91590327,27.16832801,26.4575547,29.1476882,29.05961934,28.64057297,28.44000765,27.54207259,26.1813701,24.66345807,23.4571405,23.71029353,25.31590289,27.3683278,27.91669314,28.6428273
23,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIPO,27.81578573,27.80136751,27.36677564,26.44886978,24.59655896,23.32279115,22.34977519,22.72857081,24.11426832,26.01693081,27.57115062,28.10352767,27.61578496,27.43639918,27.20165306,26.74886983,25.28745453,23.40874914,22.35888017,22.42857158,23.91426807,26.6470232,27.47115024,28.70352724,28.12488994,28.25723265,28.00165229,26.84887021,23.88745352,22.22279077,21.55888093,22.52857196,24.01426845,26.34702241,25.68025464,28.30352792,28.22489032,27.80136751,27.60165268,26.64886944,25.28745453,23.72279077,22.4588805,22.72857081,24.41426807,26.54702282,27.13611972,27.79858946
24,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT RANOMAFANA,26.0202703,25.96123611,25.58846572,24.53724265,22.66277467,21.25857923,20.19707135,20.63196297,22.18609515,24.18802254,25.88069277,26.32756929,25.82026958,25.62238508,25.36460182,24.83724189,23.36154108,21.35020921,20.19830558,20.32642416,21.98609494,24.85073673,25.78069244,26.92756879,26.32150377,26.39885158,26.16460105,24.93724201,21.96153993,20.15857904,19.407007,20.43196405,22.08609532,24.54757511,23.98192616,26.52756893,26.42150415,25.96123611,25.76460143,24.73724189,23.36154108,21.65857904,20.29830618,20.63196297,22.48609494,24.74757526,25.41638149,26.02597218
25,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMBATOLAHY,25.65648164,25.61469552,25.20558448,24.13624992,22.30575095,20.86979923,19.7620841,20.22447943,21.87533065,23.94039991,25.62972346,26.01800702,25.45648088,25.27989712,24.97875633,24.43624916,23.00363278,20.96330748,19.76420319,19.92395165,21.67533034,24.60202462,25.52972308,26.61800598,25.95859961,26.04737361,25.77875556,24.53624954,21.60363145,19.76979905,18.96500059,20.02448048,21.77533062,24.30175701,23.7318421,26.21800606,26.05859999,25.61469552,25.37875594,24.3362503,23.00363278,21.26979905,19.86420377,20.22447943,22.17533034,24.50175616,25.16425263,25.71416107
26,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT TSARAMANDROSO,26.97288709,26.92233861,26.5117669,25.52717184,23.64653097,22.31945543,21.28582454,21.6861497,23.1360018,25.11743963,26.77033619,27.28736383,26.77288633,26.57017181,26.32062541,25.82717108,24.34172624,22.40988882,21.29062934,21.38604188,22.93600246,25.76074763,26.67033507,27.88736323,27.27769133,27.36970026,27.12062464,25.92717146,22.94172496,21.21945505,20.49086611,21.48615072,23.03600285,25.46061938,24.87514002,27.48736362,27.37769171,26.92233861,26.72062503,25.7271709,24.34172624,22.7194543,21.39062967,21.6861497,23.43600246,25.66061966,26.32237533,26.98271045
27,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT VOHIMARINA,27.81313729,27.69771652,27.35310821,26.35738654,24.47755658,23.16877285,22.27262425,22.63690857,24.00835334,25.84389843,27.44812598,28.04041773,27.61313667,27.35091534,27.13602094,26.65738578,25.17755735,23.25650967,22.27262425,22.32464554,23.80835307,26.50778656,27.34812608,28.64041741,28.11313667,28.14451641,27.93602017,26.75738614,23.77755582,22.06877285,21.49557648,22.43690955,23.90835345,26.19709765,25.5481258,28.24041691,28.21313705,27.69771652,27.53602056,26.55738674,25.17755735,23.56877285,22.37262549,22.63690857,24.30835307,26.39709818,26.98423856,27.74041692
28,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT MENARANO,27.48891664,27.37940313,27.03011117,26.0171315,24.1341764,22.83698012,21.86572639,22.2402833,23.63859852,25.53897751,27.17467434,27.7269259,27.28891588,27.0335684,26.81808915,26.31713074,24.83417716,22.93261879,21.86572639,21.93592337,23.43859865,26.19683465,27.07467396,28.32692628,27.78891588,27.82523634,27.61808838,26.41713112,23.43417564,21.73697974,21.07377794,22.04028356,23.53859903,25.89314354,25.27467282,27.92692666,27.88891626,27.37940313,27.21808876,26.21713035,24.83417716,23.23697974,21.96572677,22.2402833,23.93859865,26.0931443,26.71681695,27.42692666
29,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMBODIAVIAVY,27.95035666,27.82732493,27.45536402,26.48533112,24.59835426,23.32978898,22.38025924,22.75708992,24.14766087,26.03915937,27.63299351,28.20925257,27.7503559,27.47972031,27.24858834,26.78533036,25.29835502,23.4276052,22.38025924,22.45490802,23.94766011,26.69353964,27.53299313,28.80925295,28.2503559,28.27492802,28.04858758,26.88533074,23.89835349,22.2297886,21.58442715,22.55709106,24.04766049,26.39155552,25.73299199,28.40925333,28.35035628,27.82732493,27.64858796,26.68532998,25.29835502,23.7297886,22.48025962,22.75708992,24.44766011,26.59155587,27.1786125,27.90925333
30,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMPASIMPOTSY,27.86024696,27.72122632,27.35481085,26.3660637,24.52214229,23.24214518,22.3045701,22.66439749,24.05736742,25.90826648,27.51610287,28.08498819,27.66024619,27.37054777,27.15047802,26.66606293,25.22214305,23.33666083,22.3045701,22.35891285,23.85736736,26.56327736,27.41610261,28.68498769,28.16024619,28.17190346,27.95047725,26.76606331,23.82214153,22.14214479,21.51574352,22.46439804,23.95736774,26.25758858,25.61610224,28.28498806,28.26024657,27.72122632,27.55047763,26.56606344,25.22214305,23.64214479,22.40457049,22.66439749,24.35736813,26.45758912,27.06109255,27.78498806
