"","ID","year","month","intervention","Population","Population.u5","Population.over5","closest.csb","real.dist.csb","m1.fit.st","palu.pc.2nn_0.08","palu.und5.pc.3nn_0.19","fokontany","altitude","nets.high","nets.low","yfl","tc","fcl","maj.veg","min.veg","med.veg","mean.ann.temp","min.ann.temp","max.ann.temp","mean.ann.p","wet.p","dry.p","monthly.p","monthly.max.t","monthly.min.t","monthly.p.lag","monthly.max.t.lag","monthly.min.t.lag","lat","long","x_32738","y_32738"
"28",122,2014,1,0,989,178,811,"csb2.antaretra",1.853,NA,NA,NA,"ANTARETRA",253.25,0.681658516043482,0.784692603230962,0.076692335243553,57.6615329512894,0.0916905444126074,16,14,"Degraded humid forest",22.2041668362088,14.0888888041178,29.1222222646077,42173,7407,1233,387.805479,29.38318095,21.46219823,391.5692288,29.3344858,21.30197161,-21.35826598,47.78392366,788717.8743,7635645.29
"29",123,2014,1,0,719,129,590,"csb2.antaretra",4.471,NA,NA,NA,"AMBODIROTRA",449.846153846154,0.686113729097016,0.772384305515333,0.106356280559041,62.2674051317554,0.167452728138116,16,7,"Degraded humid forest",21.3192459288098,13.1761904216948,28.3333334241595,50132,8772,1339,390.3151898,28.89578728,20.88738193,387.805479,29.38318095,21.46219823,-21.37304714,47.75060073,785231.3518,7634068.825
"30",124,2014,1,0,1168,210,958,"csb2.antaretra",6.412,NA,NA,NA,"ANDONABE",389.583333333333,0.689806205083289,0.767786626877741,0.083977413800008,62.8683272596212,0.12053982619839,16,7,"Degraded humid forest",21.5661666870117,13.4919999694824,28.5119999694824,59375,10326,1677,386.9299162,29.09053195,21.18260342,390.3151898,28.89578728,20.88738193,-21.39892075,47.7803338,788265.6315,7631148.389
"31",125,2014,1,0,747,134,613,"csb1.mahasoa",7.029,NA,NA,NA,"AMPASIMBE",303.066666666667,0.697899981222032,0.770389140299007,0.0775523560209424,54.4853839441536,0.0905322862129145,16,7,"Degraded humid forest",22.0009999847412,13.9919999694824,28.9159999084473,58333,10150,1740,378.541469,29.34264053,21.44373982,386.9299162,29.09053195,21.18260342,-21.45557661,47.79433014,789605.7133,7624846.513
"32",126,2014,1,0,2582,465,2117,"csb2.androrangavola",2.874,NA,NA,NA,"ANDRORANGAVOLA",363.444444444444,0.688133474629762,0.763419057003174,0.0727436012572968,52.9174150576261,0.0979269570423589,16,14,"Degraded humid forest",20.8233552315631,12.1207866348395,28.1498099372592,52535.4,9507.4,1441.2,382.0353149,29.30579812,21.19065662,378.541469,29.34264053,21.44373982,-21.49190626,47.71749315,781567.8997,7620962.546
"33",127,2014,1,0,1041,187,854,"csb2.antaretra",11.089,NA,NA,NA,"AMBODIFONTSINA",525.863636363636,0.690092106996611,0.767005063870378,0.109038970690696,65.3737749082633,0.153258395652376,16,7,"Degraded humid forest",21.0225877761841,12.8289474688078,28.0736842406423,89140,15682,2354,386.9604437,28.54867554,20.45243678,382.0353149,29.30579812,21.19065662,-21.40979425,47.70768203,780708.0915,7630075.736
"34",128,2014,1,0,1133,204,929,"csb2.androrangavola",11.061,NA,NA,NA,"AMBALATENINA",437.375,0.682932296063578,0.749739983673515,0.087652663632494,57.4536524671753,0.12213090599522,16,4,"Degraded humid forest",21.5176280828623,13.1538461905259,28.596153992873,59935,10748,1616,389.4236518,29.08133669,20.86024005,386.9604437,28.54867554,20.45243678,-21.45147767,47.64783967,774422.8573,7625564.62
"35",129,2014,1,0,413,74,339,"csb2.androrangavola",12.478,NA,NA,NA,"AMBALAFASINA",448.25,0.694074208084974,0.762699906765754,0.118338918457192,61.2103291937709,0.151981076286221,16,6,"Degraded humid forest",21.4580357415336,13.0000000681196,28.58571434021,31912,5744,864,382.5272128,28.99052696,20.67947259,389.4236518,29.08133669,20.86024005,-21.4850672,47.61989885,771463.2593,7621892.846
"36",13,2014,1,1,975,176,800,"csb2.tsaratanana",8.786,NA,NA,NA,"AMBOHINIHAONANA",520.416666666667,0.641124299570058,0.509036869571033,0.147995169082126,62.068768115942,0.226473429951691,16,6,"Degraded humid forest",20.8927084059942,12.2906084726727,28.2106615000932,49577.6666666667,9019.33333333333,1266.66666666667,396.3773153,28.73629225,20.3164517,399.1651661,28.83903563,20.3517227,-21.13995829,47.684386,778800.1348,7660006.051
"37",130,2014,1,0,791,142,649,"csb2.androrangavola",12.96,NA,NA,NA,"AMBOHIMAHAVELONA BETOHO",453.25,0.695444443882869,0.777160819339487,0.129526123936817,56.5803159173755,0.16269744835966,16,6,"Degraded humid forest",21.5029764175415,13.0785714558193,28.5857146126883,31577,5649,873,378.2205809,29.08633219,20.81100187,382.5272128,28.99052696,20.67947259,-21.52150209,47.61958327,771362.861,7617857.7
"38",131,2014,1,0,928,167,761,"csb2.androrangavola",7.959,NA,NA,NA,"NOSIBE SUD",366.909090909091,0.682401586039315,0.772970867518416,0.08479969146218,53.9800896688039,0.116906908354626,16,7,"Degraded humid forest",21.7644737645199,13.3684210526316,28.8263158296284,43780,7798,1217,386.0525812,29.25178167,21.02797,378.2205809,29.08633219,20.81100187,-21.48325754,47.65732982,775347.1466,7622027.797
"39",132,2014,1,0,407,73,334,"csb2.androrangavola",8.074,NA,NA,NA,"MANDRIAPOTSY",310.5,0.684703168583734,0.771836101265285,0.0642468944099379,47.6820652173913,0.0914208074534161,16,4,"Degraded humid forest",21.9475002288818,13.5400001525879,29.0000003814697,11460,2031,323,383.3700297,29.32006539,21.07153601,386.0525812,29.25178167,21.02797,-21.50029882,47.65059758,774617.1826,7620152.043
"40",133,2014,1,0,1061,191,870,"csb2.androrangavola",8.767,NA,NA,NA,"AMBALAVAONA",344.818181818182,0.692341421893422,0.77007076120977,0.071157495256167,52.4817098882564,0.0927682901117436,16,4,"Degraded humid forest",21.8183330535889,13.3933332443237,28.8600001017253,34148,6089,958,380.7604825,29.34521419,21.1207437,383.3700297,29.32006539,21.07153601,-21.5229442,47.65305942,774829.7564,7617639.353
"41",134,2014,1,0,799,144,655,"csb2.androrangavola",10.793,NA,NA,NA,"LAVAKIANJA SUD",302.25,0.693034137856828,0.770573069347059,0.0621216109502501,50.478810213214,0.0807054488023164,16,4,"Degraded humid forest",22.0747547149658,13.694117714377,29.0764708799474,38469,6818,1130,376.8507794,29.49155614,21.3304355,380.7604825,29.34521419,21.1207437,-21.56642716,47.66790117,776285.6045,7612796.603
"42",135,2014,1,0,902,162,740,"csb2.androrangavola",7.788,NA,NA,NA,"AMBODIARA NORD",473.842105263158,0.692231660269142,0.766841530595903,0.0882894112060779,59.8526828110161,0.126958689458689,16,14,"Degraded humid forest",20.1167338278986,11.7848118530807,27.3591396475351,48266.5,8407,1319,383.6677463,28.80104659,20.72110917,376.8507794,29.49155614,21.3304355,-21.44648976,47.73133586,783090.8281,7625968.386
"43",136,2014,1,0,2740,493,2247,"csb1.mahasoa",2.934,NA,NA,NA,"MAHASOA",253,0.69176727875405,0.767320634126406,0.0519866654653572,52.7654293179566,0.0695332912875034,16,6,"Degraded humid forest",22.2929168701172,14.1949999570847,29.2349998950958,92453,16081,2778,373.7112135,29.65630863,21.70042956,383.6677463,28.80104659,20.72110917,-21.49260601,47.78338857,788398.0574,7620764.789
