LIB_FKT,long,lat,x_unknown,y_unknown,x_32738,y_32738
FKT MASOAROVANA,47.61639098,-20.90358636,522657.0584,577966.0921,772163.6337,7686304.412
FKT AMBILANIBE,47.64806228,-20.89529028,525958.7356,578859.8172,775475.0738,7687169.217
FKT AMBODIARA,47.58806531,-20.89865336,519714.3792,578533.756,769224.4236,7686898.579
FKT AMBODIVOASARY,47.57621451,-20.92244172,518462.6882,575909.1588,767948.704,7684283.727
FKT AMBATOFANOKONANA,47.60482943,-20.93825154,521426.1715,574137.3273,770897.9762,7682484.557
FKT AMBODIRAFIA,47.65230951,-20.92821949,526372.7966,575210.9506,775856.8389,7683514.661
FKT ANTANJONA,47.6752435,-20.98416493,528709.9969,568998.8631,778139.8548,7677278.335
FKT FALIARIVO,47.6793065,-20.96026154,529153.1442,571641.92,778606.8537,7679918.87
FKT AMBOHIMIERA,47.49748786,-21.05978808,510172.0432,560761.2618,759518.8231,7669202.047
FKT MAROMANANA,47.4765347,-20.88325486,508123.3283,580318.2866,757643.1671,7688787.07
FKT AMBOLO,47.48378536,-20.90221302,508863.8188,578214.6785,758365.3543,7686675.811
FKT AMBINANITOMAROSANA,47.49529542,-20.92374866,510045.2268,575822.7354,759526.1066,7684272.15
FKT AMBOHIDAZA,47.41690601,-20.97791227,501854.9311,569879.4059,751278.9076,7678398.699
FKT AMPANTSONA,47.38925525,-21.02404565,498949.159,564790.1563,748326.4833,7673332.879
FKT AMBOHIMILANJA,47.45435891,-21.09584945,505664.3235,556798.8139,754973.5801,7665277.934
FKT AMBOHIMAHAVELONA,47.53471719,-20.93502407,514136.8297,574546.653,763608.4567,7682959.017
FKT AMBOHIMAHATSINJO,47.492701,-20.96234928,509746.8859,571551.4015,759189.6197,7680001.31
FKT FIADANANA NORD,47.56941612,-20.95822248,517727.3069,571953.1217,767177.6988,7680332.165
FKT AMBODIMANGA,47.60158685,-20.97023457,521062.9519,570599.0777,770503.0174,7678947.674
FKT FALIARIVO,47.58449911,-20.99507596,519266.2129,567861.9347,768680.9219,7676225.132
FKT ANTARAMBAKANA,47.53965518,-20.98201123,514614.1787,569341.4387,764039.6922,7677746.881
FKT SAHALALONA,47.59261003,-21.02235228,520087.3882,564836.1003,769475.5095,7673190.405
FKT ANDRORANGAVOLA,47.58434224,-21.05173879,519204.3219,561589.0408,768562.9832,7669949.575
FKT VOHIMENA,47.61118705,-21.11435494,521942.4954,554636.2168,771240.3358,7662968.744
FKT MANARINONY,47.57636427,-21.12055854,518319.9797,553976.0726,767610.1065,7662340.707
FKT ANDEMAKA NORD,47.54569001,-21.02951907,515204.6979,564077.6772,764583.5646,7672475.188
FKT TSINJORANO,47.52976593,-21.06800204,513519.9777,559828.9425,762860.0726,7668239.381
FKT SAHASOMANGANA,47.54124327,-21.11028163,514679.693,555139.9284,763978.4483,7663537.705
FKT MAROFOTSY,47.49740653,-21.00915567,510201.3728,566366.5357,759598.1563,7674809.811
