ID,Fokontany,Commune
141,AMPASIMPOTSY,ANDRORANGAVOLA
142,AMBOHIMIARINA,ANALAMPASINA
143,MATSITSIRANO,ANALAMPASINA
144,BETAMPO NORD,ANALAMPASINA
145,ANDRORANGAVOLA SUD,ANALAMPASINA
146,ANALAMPASINA,ANALAMPASINA
147,ANALAVORY,ANALAMPASINA
148,AMBARO,ANALAMPASINA
149,AMBOHIMALAZA,ANALAMPASINA
150,MANJIRIANA SUD,ANALAMPASINA
151,MAROSATROKA,AMBOHIMANGA DU SUD
152,MAROLANANANA,AMBOHIMANGA DU SUD
153,AMBODIMANGA NORD,AMBOHIMANGA DU SUD
154,VOHITRARIVO,AMBOHIMANGA DU SUD
155,SOANIHERENANA NORD,AMBOHIMANGA DU SUD
156,AMBALAVARY,AMBOHIMANGA DU SUD
157,FASINTSARA ANDAKANA,AMBOHIMANGA DU SUD
158,NOSIMBOAHANGY,AMBOHIMANGA DU SUD
159,AMBALAHERANA,AMBOHIMANGA DU SUD
160,ANDRORANGAVOLA NORD,AMBOHIMANGA DU SUD
161,AMBOHIMIRANTY,AMBOHIMANGA DU SUD
162,MANDROALINA,AMBOHIMANGA DU SUD
163,MORARANO,AMBOHIMANGA DU SUD
164,AMBOHIMANGA SUD,AMBOHIMANGA DU SUD
165,SAHAMARANA,AMBOHIMANGA DU SUD
166,MASOAROVANA,AMBOHIMANGA DU SUD
167,AMBILANIBE,AMBOHIMANGA DU SUD
168,AMBODIARA,AMBOHIMANGA DU SUD
169,AMBODIVOASARY,AMBOHIMANGA DU SUD
170,AMBATOFANOKONANA,AMBOHIMANGA DU SUD
171,AMBODIRAFIA,AMBOHIMANGA DU SUD
172,ANTANJONA,AMBOHIMANGA DU SUD
173,FALIARIVO,AMBOHIMANGA DU SUD
174,AMBOHIMIERA,AMBOHIMIERA
175,MAROMANANA,AMBOHIMIERA
176,AMBOLO,AMBOHIMIERA
177,AMBINANITOMAROSANA,AMBOHIMIERA
178,AMBOHIDAZA,AMBOHIMIERA
179,AMPANTSONA,AMBOHIMIERA
180,AMBOHIMILANJA,AMBOHIMIERA
181,AMBOHIMAHAVELONA,AMBOHIMIERA
182,AMBOHIMAHATSINJO,AMBOHIMIERA
183,FIADANANA NORD,AMBOHIMIERA
184,AMBODIMANGA,AMBOHIMIERA
185,FALIARIVO,AMBOHIMIERA
186,ANTARAMBAKANA,AMBOHIMIERA
187,SAHALALONA,AMBOHIMIERA
188,ANDRORANGAVOLA,AMBOHIMIERA
189,VOHIMENA,AMBOHIMIERA
190,MANARINONY,AMBOHIMIERA
191,ANDEMAKA NORD,AMBOHIMIERA
192,TSINJORANO,AMBOHIMIERA
193,SAHASOMANGANA,AMBOHIMIERA
194,MAROFOTSY,AMBOHIMIERA
